ticker,time,close,open,high,low,volume
UDC,13/12/2022,5.75,5.69,5.8,5.57,54600.0
UDC,12/12/2022,5.45,5.37,5.45,5.37,33100.0
UDC,09/12/2022,5.1,5.39,5.59,5.1,62300.0
UDC,08/12/2022,5.38,5.9,5.9,5.38,87400.0
UDC,07/12/2022,5.78,5.98,6.19,5.57,73400.0
UDC,06/12/2022,5.98,6.1,6.69,5.98,65100.0
UDC,05/12/2022,6.43,6.91,7.1,6.43,73600.0
UDC,02/12/2022,6.91,6.99,7.0,6.51,58000.0
UDC,01/12/2022,6.99,6.84,7.3,6.37,92500.0
UDC,30/11/2022,6.84,6.64,7.0,6.18,45300.0
UDC,29/11/2022,6.64,6.28,6.7,5.9,55000.0
UDC,28/11/2022,6.28,5.89,6.3,5.6,59900.0
UDC,25/11/2022,5.89,5.71,6.0,5.35,21300.0
UDC,24/11/2022,5.71,6.11,6.12,5.71,56100.0
UDC,23/11/2022,6.13,6.28,6.4,5.86,58900.0
UDC,22/11/2022,6.3,6.3,6.55,5.86,40800.0
UDC,21/11/2022,6.3,6.0,6.3,5.62,25800.0
UDC,18/11/2022,6.0,5.84,6.23,5.44,34000.0
UDC,17/11/2022,5.84,5.46,5.86,5.2,21700.0
UDC,16/11/2022,5.48,5.46,5.48,5.1,99200.0
UDC,15/11/2022,5.48,5.67,5.74,5.27,19600.0
UDC,14/11/2022,5.66,5.69,6.0,5.3,29900.0
UDC,11/11/2022,5.69,5.7,5.96,5.31,51100.0
UDC,10/11/2022,5.7,5.75,6.1,5.38,43600.0
UDC,09/11/2022,5.78,5.6,5.8,5.3,28600.0
UDC,08/11/2022,5.5,5.39,5.75,5.02,48600.0
UDC,07/11/2022,5.39,5.79,6.18,5.39,66900.0
UDC,04/11/2022,5.81,5.76,6.08,5.69,75800.0
UDC,03/11/2022,6.11,6.54,6.54,6.11,24400.0
UDC,02/11/2022,6.56,6.88,6.88,6.4,31400.0
UDC,01/11/2022,6.88,7.08,7.08,6.6,82700.0
UDC,31/10/2022,7.09,7.29,7.3,6.87,34400.0
UDC,28/10/2022,7.38,7.48,7.48,6.96,11800.0
UDC,27/10/2022,7.48,7.56,7.57,7.05,57600.0
UDC,26/10/2022,7.57,7.54,7.79,7.02,4400.0
UDC,25/10/2022,7.54,7.78,7.78,7.25,90100.0
UDC,24/10/2022,7.79,7.9,7.9,7.46,2800.0
UDC,21/10/2022,7.9,7.9,8.39,7.39,21500.0
UDC,20/10/2022,7.9,7.66,8.08,7.15,26000.0
UDC,19/10/2022,7.66,7.36,7.77,6.98,20600.0
